image,iou
andor_boruth_19.jpeg,0.8021
andor_boruth_27.jpeg,0.8675
andor_boruth_39.jpeg,0.5790
andor_boruth_53.jpeg,0.0000
andor_boruth_9.jpeg,0.8216
elemir_halasz_hradil_2.jpg,0.7873
elemir_halasz_hradil_24.jpeg,0.8351
elemir_halasz_hradil_29.jpg,0.0000
elemir_halasz_hradil_33.jpg,0.6285
elemir_halasz_hradil_36.jpg,0.9260
jan_mudroch_14.jpeg,0.9244
jan_mudroch_21.jpeg,0.6712
jan_mudroch_24.jpeg,0.7409
jan_mudroch_34.jpeg,0.0000
jan_mudroch_39.jpeg,0.7637
jozef_hanula_24.jpg,0.8801
jozef_hanula_28.jpg,0.8374
jozef_hanula_33.jpg,0.9042
jozef_hanula_39.jpg,0.9131
jozef_hanula_7.jpg,0.0000
ladislav_cemicky_1.jpeg,0.0000
ladislav_cemicky_11.jpeg,0.9191
ladislav_cemicky_18.jpeg,0.8124
ladislav_cemicky_23.jpeg,0.7724
ladislav_cemicky_28.jpeg,0.8584
ladislav_mednyanszky_14.jpg,0.7261
ladislav_mednyanszky_23.jpg,0.7915
ladislav_mednyanszky_58.jpg,0.8629
ladislav_mednyanszky_63.jpg,0.8005
ladislav_mednyanszky_65.jpeg,0.7383
ludovit_pitthordt_24.jpg,0.6888
ludovit_pitthordt_28.jpg,0.8889
ludovit_pitthordt_3.jpg,0.8557
ludovit_pitthordt_31.jpg,0.8285
ludovit_pitthordt_42.jpeg,0.8816
maria_medvecka_10.jpeg,0.7547
maria_medvecka_2.jpeg,0.8861
maria_medvecka_26.jpeg,0.8942
maria_medvecka_29.jpeg,0.9217
maria_medvecka_33.jpeg,0.8167
maximilian_kurth_22.jpeg,0.8190
maximilian_kurth_26.jpeg,0.7293
maximilian_kurth_27.jpeg,0.8033
maximilian_kurth_34.jpeg,0.8050
maximilian_kurth_9.jpeg,0.8425
milan_thomka_mitrovksy_113.jpeg,0.9020
milan_thomka_mitrovksy_14.jpg,0.8044
milan_thomka_mitrovksy_29.jpg,0.8657
milan_thomka_mitrovksy_5.jpg,0.7917
milan_thomka_mitrovksy_51.jpeg,0.7507
peter_michal_bohun_26.jpg,0.8936
peter_michal_bohun_44.jpg,0.9374
peter_michal_bohun_58.jpg,0.7217
peter_michal_bohun_63.jpeg,0.6911
peter_michal_bohun_86.jpeg,0.8414
