image,iou
andor_boruth_19.jpeg,0.8369
andor_boruth_27.jpeg,0.8838
andor_boruth_39.jpeg,0.7377
andor_boruth_53.jpeg,0.7616
andor_boruth_9.jpeg,0.9021
elemir_halasz_hradil_2.jpg,0.8672
elemir_halasz_hradil_24.jpeg,0.8715
elemir_halasz_hradil_29.jpg,0.0000
elemir_halasz_hradil_33.jpg,0.7043
elemir_halasz_hradil_36.jpg,0.9322
jan_mudroch_14.jpeg,0.7792
jan_mudroch_21.jpeg,0.6936
jan_mudroch_24.jpeg,0.8682
jan_mudroch_34.jpeg,0.8479
jan_mudroch_39.jpeg,0.8000
jozef_hanula_24.jpg,0.8489
jozef_hanula_28.jpg,0.9127
jozef_hanula_33.jpg,0.6108
jozef_hanula_39.jpg,0.9305
jozef_hanula_7.jpg,0.8134
ladislav_cemicky_1.jpeg,0.0000
ladislav_cemicky_11.jpeg,0.8459
ladislav_cemicky_18.jpeg,0.0000
ladislav_cemicky_23.jpeg,0.7686
ladislav_cemicky_28.jpeg,0.8319
ladislav_mednyanszky_14.jpg,0.7831
ladislav_mednyanszky_23.jpg,0.8179
ladislav_mednyanszky_58.jpg,0.8661
ladislav_mednyanszky_63.jpg,0.8770
ladislav_mednyanszky_65.jpeg,0.7092
ludovit_pitthordt_24.jpg,0.7915
ludovit_pitthordt_28.jpg,0.8840
ludovit_pitthordt_3.jpg,0.7884
ludovit_pitthordt_31.jpg,0.8676
ludovit_pitthordt_42.jpeg,0.8931
maria_medvecka_10.jpeg,0.8898
maria_medvecka_2.jpeg,0.9240
maria_medvecka_26.jpeg,0.8332
maria_medvecka_29.jpeg,0.8443
maria_medvecka_33.jpeg,0.8231
maximilian_kurth_22.jpeg,0.8472
maximilian_kurth_26.jpeg,0.8236
maximilian_kurth_27.jpeg,0.7931
maximilian_kurth_34.jpeg,0.8525
maximilian_kurth_9.jpeg,0.9098
milan_thomka_mitrovksy_113.jpeg,0.8752
milan_thomka_mitrovksy_14.jpg,0.7711
milan_thomka_mitrovksy_29.jpg,0.8373
milan_thomka_mitrovksy_5.jpg,0.8863
milan_thomka_mitrovksy_51.jpeg,0.7637
peter_michal_bohun_26.jpg,0.9309
peter_michal_bohun_44.jpg,0.8965
peter_michal_bohun_58.jpg,0.9025
peter_michal_bohun_63.jpeg,0.9382
peter_michal_bohun_86.jpeg,0.8928
