image,iou
andor_boruth_19.jpeg,0.9328
andor_boruth_27.jpeg,0.9081
andor_boruth_39.jpeg,0.0000
andor_boruth_53.jpeg,0.8823
andor_boruth_9.jpeg,0.9231
elemir_halasz_hradil_2.jpg,0.8300
elemir_halasz_hradil_24.jpeg,0.9293
elemir_halasz_hradil_29.jpg,0.0000
elemir_halasz_hradil_33.jpg,0.7911
elemir_halasz_hradil_36.jpg,0.9280
jan_mudroch_14.jpeg,0.8770
jan_mudroch_21.jpeg,0.6710
jan_mudroch_24.jpeg,0.8079
jan_mudroch_34.jpeg,0.0000
jan_mudroch_39.jpeg,0.9127
jozef_hanula_24.jpg,0.9041
jozef_hanula_28.jpg,0.8965
jozef_hanula_33.jpg,0.9008
jozef_hanula_39.jpg,0.9323
jozef_hanula_7.jpg,0.0000
ladislav_cemicky_1.jpeg,0.0000
ladislav_cemicky_11.jpeg,0.8805
ladislav_cemicky_18.jpeg,0.0000
ladislav_cemicky_23.jpeg,0.0000
ladislav_cemicky_28.jpeg,0.9422
ladislav_mednyanszky_14.jpg,0.8513
ladislav_mednyanszky_23.jpg,0.8324
ladislav_mednyanszky_58.jpg,0.9401
ladislav_mednyanszky_63.jpg,0.9789
ladislav_mednyanszky_65.jpeg,0.8282
ludovit_pitthordt_24.jpg,0.0000
ludovit_pitthordt_28.jpg,0.9358
ludovit_pitthordt_3.jpg,0.9613
ludovit_pitthordt_31.jpg,0.8586
ludovit_pitthordt_42.jpeg,0.9814
maria_medvecka_10.jpeg,0.9225
maria_medvecka_2.jpeg,0.9492
maria_medvecka_26.jpeg,0.9386
maria_medvecka_29.jpeg,0.9224
maria_medvecka_33.jpeg,0.8092
maximilian_kurth_22.jpeg,0.8748
maximilian_kurth_26.jpeg,0.9210
maximilian_kurth_27.jpeg,0.8962
maximilian_kurth_34.jpeg,0.9338
maximilian_kurth_9.jpeg,0.9329
milan_thomka_mitrovksy_113.jpeg,0.9565
milan_thomka_mitrovksy_14.jpg,0.9046
milan_thomka_mitrovksy_29.jpg,0.9450
milan_thomka_mitrovksy_5.jpg,0.9264
milan_thomka_mitrovksy_51.jpeg,0.7569
peter_michal_bohun_26.jpg,0.9243
peter_michal_bohun_44.jpg,0.8541
peter_michal_bohun_58.jpg,0.8903
peter_michal_bohun_63.jpeg,0.9353
peter_michal_bohun_86.jpeg,0.8875
